"TAXA","ecoregions","allLUType","value"
"Amphibians","AA1210","Cur0",1
"Amphibians","AA1210","CurC",0.413440210495114
"Amphibians","AA1210","CurC_L",0.949880057665728
"Amphibians","AA1210","CurC_M",0.641921758490965
"Amphibians","AA1210","CurNC",0.413440210495114
"Amphibians","AA1210","CurNC_L",0.949880057665728
"Amphibians","AA1210","CurNC_M",0.641921758490965
"Amphibians","AA1210","PriFor",1
"Amphibians","AA1301","Cur0",1
"Amphibians","AA1301","CurC",0.413440210495114
"Amphibians","AA1301","CurC_L",0.949880057665728
"Amphibians","AA1301","CurC_M",0.641921758490965
"Amphibians","AA1301","CurNC",0.413440210495114
"Amphibians","AA1301","CurNC_L",0.949880057665728
"Amphibians","AA1301","CurNC_M",0.641921758490965
"Amphibians","AA1301","PriFor",1
"Amphibians","AA1302","Cur0",1
"Amphibians","AA1302","CurC",0.413440210495114
"Amphibians","AA1302","CurC_L",0.949880057665728
"Amphibians","AA1302","CurC_M",0.641921758490965
"Amphibians","AA1302","CurNC",0.413440210495114
"Amphibians","AA1302","CurNC_L",0.949880057665728
"Amphibians","AA1302","CurNC_M",0.641921758490965
"Amphibians","AA1302","PriFor",1
"Amphibians","AA1303","Cur0",1
"Amphibians","AA1303","CurC",0.413440210495114
"Amphibians","AA1303","CurC_L",0.949880057665728
"Amphibians","AA1303","CurC_M",0.641921758490965
"Amphibians","AA1303","CurNC",0.413440210495114
"Amphibians","AA1303","CurNC_L",0.949880057665728
"Amphibians","AA1303","CurNC_M",0.641921758490965
